id	filename	md5	size	state
3da29760-0a74-4e40-b362-b1e70e96ee81	3da29760-0a74-4e40-b362-b1e70e96ee81/TCGA-LGG.005fcaea-789e-4656-81a2-9ab1116c9fdd.ascat3.gene_level_copy_number.v36.tsv	7906ee9cbd4ab798a6c2a88b6aaa2fc3	3445499	validated
cef731fa-e933-4e57-a7dc-8ee5e1ffa71b	cef731fa-e933-4e57-a7dc-8ee5e1ffa71b/TCGA-LGG.be17c1f3-df4b-4a47-b4b3-c923876c4ad2.ascat3.gene_level_copy_number.v36.tsv	5c2da115b55341014226f818d8df6dde	3448859	validated
08d58760-21be-486a-a620-13a2c35fafbc	08d58760-21be-486a-a620-13a2c35fafbc/TCGA-LGG.d97ceccf-2215-46a7-a07e-d86a90507323.ascat3.gene_level_copy_number.v36.tsv	955fde81a635ab9eac71c11623dd2891	3445499	validated
05c7bc63-3cc9-4e32-b2f3-0db7060dc29b	05c7bc63-3cc9-4e32-b2f3-0db7060dc29b/TCGA-LGG.265afe2e-d784-45ff-90d1-7ff16183c5e5.ascat3.gene_level_copy_number.v36.tsv	35bb5e5ff542df4885863b8769b0c0a4	3445505	validated
04c8a4e7-d33d-4916-861a-3dd3c42e1147	04c8a4e7-d33d-4916-861a-3dd3c42e1147/TCGA-LGG.de588596-d650-4d2c-9305-43fdeb08bf60.ascat3.gene_level_copy_number.v36.tsv	fc000046c9159ccc71e9a3c1cc62dec8	3445490	validated
98ce1b00-36ef-4264-bed9-371989e13b6a	98ce1b00-36ef-4264-bed9-371989e13b6a/TCGA-LGG.38f88c07-2cf1-41b0-b141-a9379fc10a76.ascat3.gene_level_copy_number.v36.tsv	7bd61749d1d9dfde303c544f08c1b3e0	3445505	validated
2d62bfd9-512e-42d4-a44e-6df057db1fda	2d62bfd9-512e-42d4-a44e-6df057db1fda/TCGA-LGG.b2a13743-93d1-4dee-9f75-45871e5497f8.ascat3.gene_level_copy_number.v36.tsv	1154a496dcd76bdf36f58466b6dd6d9f	3445505	validated
fb4766a8-e82a-4213-81c1-736acf98e043	fb4766a8-e82a-4213-81c1-736acf98e043/TCGA-LGG.7eef19f2-71ab-44c6-acc6-0f94afd67081.ascat3.gene_level_copy_number.v36.tsv	e69f51c66570aacf62e0f3723d5380b6	3445490	validated
004e601e-8f35-48e5-87d6-958e4d42325b	004e601e-8f35-48e5-87d6-958e4d42325b/TCGA-LGG.d7c80686-e980-4b4a-9be4-7f90f55800f0.ascat3.gene_level_copy_number.v36.tsv	b7373fe3532c75187bee136f5f57ed89	3445505	validated
81868a3c-e051-4516-acc4-be2db9bef5ac	81868a3c-e051-4516-acc4-be2db9bef5ac/TCGA-LGG.8bf9976b-1de9-4a0c-890e-965cdbaca6b3.ascat3.gene_level_copy_number.v36.tsv	5df68cbc487779302335a7f504795b8c	3445499	validated
d0bbd85a-3a87-4ee2-aec4-07da353135dc	d0bbd85a-3a87-4ee2-aec4-07da353135dc/TCGA-LGG.d94776ff-6d19-47c3-a576-03c843d1128a.ascat3.gene_level_copy_number.v36.tsv	53939600ce59b4919a85c215ec319281	3445625	validated
e2a01e7a-6443-4754-8700-b301995908b3	e2a01e7a-6443-4754-8700-b301995908b3/TCGA-LGG.b2ef449a-0cf5-4d18-96e5-4bc0f292de56.ascat3.gene_level_copy_number.v36.tsv	b8fb7c2f20037dec70a4c07caf342483	3445505	validated
30e7fd6f-645a-4f25-a8d3-d40c1e348bdf	30e7fd6f-645a-4f25-a8d3-d40c1e348bdf/TCGA-LGG.d4f483ce-9a21-4e4d-92fe-76048efac0bc.ascat3.gene_level_copy_number.v36.tsv	4fba7cf711c40c177c64b25affe00b6a	3445478	validated
b515b9e8-2b6e-4c7c-91a4-166aba2b8105	b515b9e8-2b6e-4c7c-91a4-166aba2b8105/TCGA-LGG.1ade2684-14d8-4468-8df8-3a6eab1c75ad.ascat3.gene_level_copy_number.v36.tsv	ac3120891c4aec0112565b99a4d09005	3445505	validated
9df93b07-32a6-4caa-b788-4356f41a1dc3	9df93b07-32a6-4caa-b788-4356f41a1dc3/TCGA-LGG.dbdb0302-1462-4e97-a978-6d49a6a8dde8.ascat3.gene_level_copy_number.v36.tsv	c05d05616d892c85671585d0f0dc1408	3445502	validated
ff5cda7f-aafc-46da-8087-8e90dd7a6648	ff5cda7f-aafc-46da-8087-8e90dd7a6648/TCGA-LGG.7612223a-75f7-4dfc-8a37-b27bfb100581.ascat3.gene_level_copy_number.v36.tsv	d2d637cdc5787fbda72179a4d65a7bb4	3445490	validated
8aab4388-5888-4f2a-81f4-28e768141233	8aab4388-5888-4f2a-81f4-28e768141233/TCGA-LGG.410f5db9-0195-4a12-80ae-25a3d1b13663.ascat3.gene_level_copy_number.v36.tsv	7196a0a3450d06d5a3977f613fb142ff	3445499	validated
c4dc4863-82be-4cc7-926f-8e8c2a110e0c	c4dc4863-82be-4cc7-926f-8e8c2a110e0c/TCGA-LGG.57417012-cde0-4ebc-9ac8-e6268208cda0.ascat3.gene_level_copy_number.v36.tsv	104a47e98c03befe7cb40fc93e1a2b45	3446756	validated
9a52a737-e169-4eba-aa5c-42a645893fe8	9a52a737-e169-4eba-aa5c-42a645893fe8/TCGA-LGG.ffbea3a5-3d1c-41d5-aab6-0f75ca09184d.ascat3.gene_level_copy_number.v36.tsv	f2eb55ed5a479601d32755c06af92d0e	3445502	validated
17b980a8-d3df-40cf-a597-9f72d9a4eb0d	17b980a8-d3df-40cf-a597-9f72d9a4eb0d/TCGA-LGG.70047fe6-c4a9-4351-a78a-d928e0e68ef3.ascat3.gene_level_copy_number.v36.tsv	87ee5a8350822aa35b22042428ebabdf	3445478	validated
a1e6e3dc-2755-4c51-a9fa-a2a217ed38e9	a1e6e3dc-2755-4c51-a9fa-a2a217ed38e9/TCGA-LGG.d1bf3cc0-e1ad-4fa1-95af-0a64d76850b4.ascat3.gene_level_copy_number.v36.tsv	adbbc3a9023d22a33235e1755ab182e4	3445505	validated
2e778ccd-0c6d-4a77-a467-3ab179dce699	2e778ccd-0c6d-4a77-a467-3ab179dce699/TCGA-LGG.cfe42c3b-815d-4ec5-8768-6d2fed8ad1b3.ascat3.gene_level_copy_number.v36.tsv	1499a3aa6ffb17b9aacea04ae27b275a	3445505	validated
5696cabe-0c3e-4fb4-8e42-7061d7a277c4	5696cabe-0c3e-4fb4-8e42-7061d7a277c4/TCGA-LGG.e9e5e8b3-301a-4f04-9763-ee166eb518b0.ascat3.gene_level_copy_number.v36.tsv	a6fadc85cac4c481dbaefce0d26dff67	3447804	validated
78c4293a-3ee0-4386-85fb-475780a700b0	78c4293a-3ee0-4386-85fb-475780a700b0/TCGA-LGG.a5bd2a78-e5a6-42b8-8d8e-da3dbd714984.ascat3.gene_level_copy_number.v36.tsv	70ade573d4da0acc53bf8af97ea0f1b7	3445743	validated
d06a57c7-dbff-4f2a-9e61-3d247e4048ba	d06a57c7-dbff-4f2a-9e61-3d247e4048ba/TCGA-LGG.75cd1945-9e65-4945-b754-49ab0146d9f3.ascat3.gene_level_copy_number.v36.tsv	297df5a96a0dc6db2f5a6b029a97a463	3445490	validated
7bb920d3-779a-46fb-9e15-e7b6ab8283a9	7bb920d3-779a-46fb-9e15-e7b6ab8283a9/TCGA-LGG.f040d10d-d399-470b-a50f-c1646576f64a.ascat3.gene_level_copy_number.v36.tsv	68e054e3c1afe1d0182f4a4346b2b51a	3445493	validated
9c21e9c5-000d-47fe-bfd0-ec8d4b70d2a9	9c21e9c5-000d-47fe-bfd0-ec8d4b70d2a9/TCGA-LGG.0be271b0-0c94-4bdf-a164-b799d14a7421.ascat3.gene_level_copy_number.v36.tsv	6db87e9b15d59e3e4d15ab54514d7778	3445481	validated
e3341c7f-65a3-4e19-ac57-926e2eb17331	e3341c7f-65a3-4e19-ac57-926e2eb17331/TCGA-LGG.9b0148e1-ecae-436f-a64a-69520ea42c09.ascat3.gene_level_copy_number.v36.tsv	2318076c1205c853a6dcae8991dd9f32	3445505	validated
6ce4b68d-7998-4d1b-846a-f9341cc8505b	6ce4b68d-7998-4d1b-846a-f9341cc8505b/TCGA-LGG.54f71090-e759-4410-9825-de2fa8d0d31a.ascat3.gene_level_copy_number.v36.tsv	0319b3df50964da50b17f2e2744a96c2	3445709	validated
9a0e3c9d-4e8d-485b-b895-483a6ecf4df2	9a0e3c9d-4e8d-485b-b895-483a6ecf4df2/TCGA-LGG.e9d6e38b-556a-4d64-b90d-68361e211fc3.ascat3.gene_level_copy_number.v36.tsv	2f94b200a31ba79e3a0ad513dd4265cc	3445493	validated
