"gene","beta_T","p_T","beta_C","p_C","r_grade_T","r_grade_C","p_T_BH","qc_ok","prognostic_T","replicated","signflip"
"NCAN",-0.273341283030029,1.09263978760555e-07,-0.197569048957029,0.00234866803922719,-0.272833370901651,-0.145871538016835,1.4886100648577e-07,TRUE,TRUE,TRUE,FALSE
"GABRD",-0.553829192572701,4.0956971665246e-17,-0.566221272452372,1.0823519822206e-12,-0.569368347615204,-0.347569187846564,1.03951704734127e-16,TRUE,TRUE,TRUE,FALSE
"VAMP2",-0.451205452480273,3.53681664551901e-21,-0.31576869606706,1.58766321770138e-07,-0.664561600197991,-0.374144825017334,1.51146010492266e-20,TRUE,TRUE,TRUE,FALSE
"FOXJ1",0.245153767890303,2.83306129669784e-06,0.349636943177316,5.00648888165746e-08,0.290253663668363,0.212212131929855,3.71792821088955e-06,TRUE,TRUE,TRUE,FALSE
"PRSS35",-0.417645468450798,3.6462017948372e-11,-0.344902062330077,9.03034971328369e-06,-0.489669268324604,-0.308445358556012,5.97737999153639e-11,TRUE,TRUE,TRUE,FALSE
"TMEM235",-0.20826100069051,0.000514880337762179,-0.116567164833442,0.114767928771246,-0.425413128140756,-0.218149979021921,0.000601495721684789,TRUE,TRUE,FALSE,FALSE
"VIM",0.485738980576291,1.93086314374224e-16,0.627674000568472,1.66331042951912e-15,0.44061965589627,0.38806864870311,4.53254259094423e-16,TRUE,TRUE,TRUE,FALSE
"COL11A1",0.189106094309189,0.000137138217727844,0.368743524741228,1.4843791723515e-07,0.0865899931147649,0.0674354575348206,0.000164829588615197,FALSE,TRUE,TRUE,FALSE
"STMN4",-0.372319912803034,1.39748842114421e-12,-0.250436665049151,0.000231899322261003,-0.570075498129062,-0.234965313814078,2.43464881732442e-12,TRUE,TRUE,TRUE,FALSE
"NEFH",-0.293769488025157,1.15511889027763e-06,-0.244938634224653,0.00110614588562985,-0.386938934740698,-0.198518674558547,1.52793504004978e-06,TRUE,TRUE,TRUE,FALSE
"ANXA2P2",0.548788929535552,1.41152471021035e-24,0.419763378367024,1.90115040304985e-13,0.679588488818451,0.381072415012524,1.26028991983067e-23,TRUE,TRUE,TRUE,FALSE
"PPP1R14A",-0.174284549545038,0.00147320466871523,-0.0606017332036545,0.394109091229083,-0.337505610687806,-0.0884540331946662,0.00167790964546154,FALSE,TRUE,FALSE,FALSE
"NKAIN1",-0.460877724137553,5.63361058980197e-17,-0.257238835383667,0.00034074443626925,-0.489363471730379,-0.139610490188597,1.40101108278666e-16,TRUE,TRUE,TRUE,FALSE
"CELF5",-0.4579265413376,7.65981862726114e-16,-0.452531505934441,1.09452423255016e-10,-0.547761995634322,-0.326948952606169,1.68718471966104e-15,TRUE,TRUE,TRUE,FALSE
"CA12",0.327499623116086,6.79866062012097e-09,0.266199772084138,0.000102251277922916,0.397364833616213,0.303951800704982,9.74020146149137e-09,TRUE,TRUE,TRUE,FALSE
"ATN1",-0.368787435678776,8.50420658392971e-16,-0.092131097204381,0.181868045599388,-0.58202253134817,-0.167850668725258,1.8328031430883e-15,TRUE,TRUE,FALSE,FALSE
"CNTN1",-0.372285796758646,9.92401469261318e-13,-0.269836851318571,0.00017516949789893,-0.570021455096766,-0.367458971981327,1.74718568531922e-12,TRUE,TRUE,TRUE,FALSE
"PHACTR3",-0.442209981604792,1.09197285426258e-18,-0.24662777010933,0.00021981932833314,-0.685557552995175,-0.355191847386634,3.4556102982993e-18,TRUE,TRUE,TRUE,FALSE
"IQSEC3",-0.505116502262468,1.6284207677497e-15,-0.657352974717376,4.47706000163313e-15,-0.51505640101288,-0.323897092982312,3.40673800784455e-15,TRUE,TRUE,TRUE,FALSE
"RNASE2",0.352458120195531,3.14590439544187e-12,0.279882868440538,5.15168566419376e-06,0.363738216361695,0.255219795132777,5.42397309558942e-12,TRUE,TRUE,TRUE,FALSE
"PVALB",-0.392932992275595,3.86151460174442e-09,-0.355658290069837,7.97588919894599e-06,-0.281304739796031,-0.200272235688345,5.58022341292546e-09,TRUE,TRUE,TRUE,FALSE
"SERPINI1",-0.323810035232685,1.45852801654019e-08,-0.269651768697992,0.000100382419931368,-0.501565161300526,-0.251570168930852,2.06006781997202e-08,TRUE,TRUE,TRUE,FALSE
"PCP4L1",-0.188313822548692,0.000886252712956393,-0.258432018043563,0.00079024720460123,-0.211392732716115,-0.205306738247912,0.00102102847114792,TRUE,TRUE,TRUE,FALSE
"LINC00634",-0.603323566942286,2.48992384652363e-29,-0.514505197946558,1.59030133909657e-14,-0.727274530809261,-0.386027575218468,6.5524311750622e-28,TRUE,TRUE,TRUE,FALSE
"UNC5A",-0.549200426058209,6.30655153244764e-21,-0.610867041914544,1.47070971768996e-15,-0.591072973830716,-0.385915896395703,2.58465226739657e-20,TRUE,TRUE,TRUE,FALSE
"NAP1L2",-0.479385898469082,6.43420413940937e-20,-0.455896110705027,1.58733149318826e-09,-0.666358746441332,-0.397529389478661,2.31800974161855e-19,TRUE,TRUE,TRUE,FALSE
"FAM181A",0.474015423095807,6.28733755363396e-15,0.457905579427101,1.94531320836771e-11,0.357219379593164,0.318586318123658,1.24255682878142e-14,TRUE,TRUE,TRUE,FALSE
"SYNGR3",-0.352054988190423,3.71317230694878e-09,-0.423719776655308,5.66800155501865e-08,-0.339655188217527,-0.254454506719297,5.38140914050547e-09,TRUE,TRUE,TRUE,FALSE
"GAPDHP1",0.319149241082291,2.10303311260466e-08,-0.0049758061774903,0.947920477525041,0.448739078223272,0.161525316966262,2.93719708464338e-08,TRUE,TRUE,FALSE,FALSE
"BEX5",-0.189166179614982,0.000884983852211921,-0.235164543726384,0.000759294903785287,-0.288884576050534,-0.158538288993015,0.00102102847114792,TRUE,TRUE,TRUE,FALSE
"VCAM1",0.271970463389788,1.36202559832532e-07,0.348219832477567,3.33699930165116e-07,0.175819175287838,0.131045937852859,1.84057513287205e-07,TRUE,TRUE,TRUE,FALSE
"TESPA1",-0.276599769227174,8.97342852277835e-05,-0.32979045833774,8.51518140962449e-05,-0.179055931417795,-0.137893022884421,0.000109432055155834,TRUE,TRUE,TRUE,FALSE
"TPPP3",0.101566709393742,0.060197321376784,0.272332740932096,0.000476955870879734,0.0330056627026227,0.111236882464407,0.0639037381919151,FALSE,FALSE,FALSE,FALSE
"TF",-0.267769818175999,7.89363927736948e-07,-0.233790830492858,0.000757669129606949,-0.493137157498897,-0.257914603272776,1.04690176092433e-06,TRUE,TRUE,TRUE,FALSE
"SFRP4",0.355370273768253,7.66706426034752e-12,0.419464506635759,1.31800013594846e-10,0.45014768368392,0.246937198455894,1.29511220613978e-11,TRUE,TRUE,TRUE,FALSE
