"cohort","model","term","HR","CI_low","CI_high","p","n","events"
"TCGA-LGG","univariate","EGFR",1.34,1.18,1.52,6.85e-06,511,125
"TCGA-LGG","adjusted(age+grade)","EGFR",1.18,1.04,1.34,0.00822,454,106
"TCGA-GBM","univariate","EGFR",0.984,0.933,1.04,0.552,282,227
"TCGA-GBM","adjusted(age)","EGFR",0.952,0.903,1,0.068,282,227
"LGG+GBM","univariate","EGFR",1.16,1.1,1.23,1.98e-07,793,352
"LGG+GBM","adjusted(age+grade)","EGFR",0.972,0.927,1.02,0.256,736,333
