"gene","r_TCGA","r_CGGA"
"EGFR",0.179409086906913,-0.0334661580320272
"IDH1",0.347582456231851,0.152499227607188
"TP53",0.098890336853866,0.113249833111397
"CDKN2A",-0.131425525982364,-0.0760370098281103
"NF1",-0.28514431927407,-0.182675008452778
"PTEN",-0.357299449518186,-0.0713312667612768
"PDGFRA",-0.304310717877458,-0.0955123996702859
"PIK3R1",-0.480515121082547,-0.194688502443654
"PIK3CA",-0.0718680535999005,-0.0571961844922894
"RB1",-0.0571627191750331,-0.0225743109157509
