"cohort","criterion","n","replic","auc_anchor","anchor_lo","anchor_hi","auc_absbT","absbT_lo","absbT_hi","auc_zT","auc_absrT"
"CGGA-693","unadjusted",6512,0.621621621621622,0.807517280459165,0.79701942403466,0.817580723958043,0.78262814569324,0.772167663693244,0.794584185934138,0.740376841537909,0.615381854435091
"CGGA-693","adjusted",6512,0.202856265356265,0.691241362685752,0.674039861015637,0.708008189125148,0.650646878929656,0.633270003208631,0.66947227031347,0.594693167627952,0.558540512454518
"CGGA-325","unadjusted",6512,0.701320638820639,0.935102329610602,0.929481164061498,0.940531969343339,0.770078066468794,0.758461133149167,0.781239204590552,0.729271295191896,0.657365486053689
"CGGA-325","adjusted",6512,0.490632678132678,0.785825096965742,0.775322965669256,0.796148174570797,0.706676234676676,0.69390665056963,0.718159234474614,0.668812863783714,0.607718289100159
"array-301","unadjusted",6512,0.683968058968059,0.933558810656214,0.927684453738146,0.939013628075343,0.738424704669218,0.726407182876515,0.751036084986667,0.727983232551472,0.703773766867707
"array-301","adjusted",6512,0.253378378378378,0.743660546227391,0.730289651875267,0.75617236719657,0.64528963015594,0.629329724878272,0.661018078014128,0.648603019084303,0.665478229435449
