"cohort","criterion","n","replic_rate","auc_raw","raw_lo","raw_hi","auc_residual","res_lo","res_hi","auc_expected","exp_lo","exp_hi"
"CGGA-693","unadjusted",6512,0.621621621621622,0.807517280459165,0.797864408144583,0.817308203186146,0.671217207631795,0.65649468942703,0.683386601413576,0.526533966589241,0.513884214291511,0.541124245412936
"CGGA-693","adjusted",6512,0.202856265356265,0.691241362685752,0.676266395155805,0.708250727364425,0.607221839581142,0.591130510684549,0.621274373131228,0.612332151772028,0.595290347695935,0.628854464257454
"CGGA-325","unadjusted",6512,0.701320638820639,0.935102329610602,0.929482894942484,0.940508272806678,0.793128417061483,0.781589449478606,0.805349079651318,0.377222761027895,0.362190987355173,0.391944529726876
"CGGA-325","adjusted",6512,0.490632678132678,0.785825096965742,0.774841065009022,0.795934057699008,0.666584196836801,0.652411536603763,0.679612264032289,0.347975125061156,0.335884635284487,0.361697736877009
"array-301","unadjusted",6512,0.683968058968059,0.933558810656214,0.92811904716716,0.938759766942289,0.743160841217621,0.729508750303139,0.758069702619983,0.537556571156271,0.522278389984721,0.552772587758826
"array-301","adjusted",6512,0.253378378378378,0.743660546227391,0.729468419054275,0.756367490753086,0.610451616120065,0.596196689084981,0.625632331035818,0.527217880159057,0.512082628719533,0.542982788028849
