"cohort","weight_kept","strata","mean_total_discord","mean_composition","mean_residual","frac_composition","cor_pred_actual","cor_T_actual","egfr_r_T","egfr_r_pred","egfr_r_act","egfr_resid","egfr_resid_pctile"
"CGGA-693",1,6,0.195055734337516,0.0447906989637358,0.173263502949246,0.229630259863224,0.867952500891353,0.882342283040187,0.220289837275312,0.240292664458365,0.0353508979529913,-0.204941766505374,0.640125
"CGGA-325",1,6,0.202524836216748,0.0154375337192848,0.201197095657567,0.0762253855263615,0.81492871807195,0.812045222749243,0.220289837275312,0.234132390537773,0.0270972717775341,-0.207035118760239,0.62925
"array-301",1,6,0.172013082066643,0.0423420057034584,0.174624327315435,0.246155729522094,0.820317969080986,0.828868222403957,0.220289837275312,0.278452900898125,-0.0068564038490693,-0.285309304747194,0.808625
