"setting","metric","null","real","diff","p"
"glioma: TCGA->CGGA-693","anchor_product",0.931170201746271,0.873511170696979,-0.0576590310492923,0.000791267026894108
"glioma: TCGA->CGGA-693","anchor_absdiff",0.60607811022487,0.654128151046563,0.0480500408216923,0.0528919421857407
"glioma: TCGA->CGGA-693","level_concord",0.486101020102134,0.587966570242228,0.101865550140094,0.0339420328156922
"glioma: TCGA->CGGA-693","range_concord",0.539180467420963,0.55250011177771,0.0133196443567474,0.533221416503298
"glioma: TCGA->CGGA-693","coexpr_preserv",0.89814843991421,0.789425013978066,-0.108723425936144,8.15609502794793e-06
"glioma: TCGA->CGGA-693","effsize",0.885424198777416,0.772615776331061,-0.112808422446355,1.68960231208742e-06
"glioma: TCGA->CGGA-325","anchor_product",0.904299620351544,0.941702541413957,0.0374029210624129,0.0102115748437793
"glioma: TCGA->CGGA-325","anchor_absdiff",0.599167540235316,0.787791294795957,0.188623754560642,0.000149804577727962
"glioma: TCGA->CGGA-325","level_concord",0.534963033881905,0.570375677633574,0.0354126437516686,0.226880335424763
"glioma: TCGA->CGGA-325","range_concord",0.519097041854376,0.706833225141724,0.187736183287348,8.72953603901861e-07
"glioma: TCGA->CGGA-325","coexpr_preserv",0.842269147180531,0.873886023794249,0.0316168766137177,0.174655154541874
"glioma: TCGA->CGGA-325","effsize",0.899815389606281,0.73323167241563,-0.166583717190651,2.60194608130003e-09
"glioma: TCGA->array-301","anchor_product",0.888392131696713,0.93529900651021,0.0469068748134979,5.91008507405313e-05
"glioma: TCGA->array-301","anchor_absdiff",0.615132664340766,0.769403542693608,0.154270878352842,7.52707439914654e-08
"glioma: TCGA->array-301","level_concord",0.491956764620381,0.429101876915127,-0.0628548877052539,0.0677343534010187
"glioma: TCGA->array-301","range_concord",0.52424157149693,0.676128876947046,0.151887305450116,3.9325861524007e-05
"glioma: TCGA->array-301","coexpr_preserv",0.809304369640099,0.92835900032751,0.119054630687411,0.000518049878333735
"glioma: TCGA->array-301","effsize",0.890430348424621,0.730634153896758,-0.159796194527863,6.6586240061788e-10
"breast: BRCA->METABRIC","anchor_product",0.738965096523336,0.713553455208722,-0.0254116413146136,0.910876380646492
"breast: BRCA->METABRIC","anchor_absdiff",0.738069989395546,0.542888529619036,-0.19518145977651,0.401147999649978
"breast: BRCA->METABRIC","level_concord",0.483779746633371,0.619195373709738,0.135415627076367,0.436865014935974
"breast: BRCA->METABRIC","range_concord",0.497692866129222,0.515197114786718,0.0175042486574957,0.932663907681919
"breast: BRCA->METABRIC","coexpr_preserv",0.647533039145258,0.477180491646976,-0.170352547498282,0.270811266168316
"breast: BRCA->METABRIC","effsize",0.564898117424372,0.503679061476599,-0.0612190559477729,0.828366604280099
"breast: METABRIC->BRCA","anchor_product",0.717114974079122,0.581824973408126,-0.135290000670996,0.000170230538079467
"breast: METABRIC->BRCA","anchor_absdiff",0.537069518574556,0.422776657574869,-0.114292860999688,0.000830929709216933
"breast: METABRIC->BRCA","level_concord",0.45632546073771,0.4175056623386,-0.0388197983991092,0.0765118159823823
"breast: METABRIC->BRCA","range_concord",0.560871540286278,0.40287498966947,-0.157996550616808,8.6390587147508e-07
"breast: METABRIC->BRCA","coexpr_preserv",0.687910766218607,0.504961108602227,-0.182949657616381,2.53570483899035e-05
"breast: METABRIC->BRCA","effsize",0.635223244849374,0.566221476569146,-0.0690017682802277,0.000554257220687086
