"setting","metric","K","est","sd_within","sd_between","sd_total","lo","hi","excludes0","inflation_vs_within","est_min","est_max"
"TCGA->CGGA-693","prod",6,-0.0969674328559207,0.00786364931826735,0.0398636990530821,0.0437698971877686,-0.182756431343947,-0.0111784343678942,TRUE,5.56610492358689,-0.141685539626389,-0.0301343976206341
"TCGA->CGGA-693","absd",6,0.063068372212917,0.0164542000531993,0.0440113820296827,0.0503048315000375,-0.0355290975271565,0.16166584195299,FALSE,3.05726388018824,0.0297509720756246,0.138431842960676
"TCGA->CGGA-325","prod",6,0.0770072570467547,0.00571181713777381,0.0429427791048664,0.0467338654347459,-0.0145911192053473,0.168605633298857,FALSE,8.18196106553939,0.0229289208345803,0.123072362359122
"TCGA->CGGA-325","absd",6,0.198493748770737,0.0111297156182851,0.049530978758656,0.0546449882056846,0.0913895718875949,0.305597925653878,TRUE,4.90982789496507,0.129714318314383,0.265959244846352
"TCGA->array-301","prod",6,0.0678856193013576,0.00603478543104425,0.0407602789930163,0.0444378108827609,-0.0192124900288538,0.154983728631569,FALSE,7.36361075145491,0.0238201492829039,0.131566662800423
"TCGA->array-301","absd",6,0.169821184252158,0.0118933545477961,0.08337519858222,0.0908374715859502,-0.00822026005630405,0.347862628560621,FALSE,7.6376661623009,0.0341010072206916,0.282665657534611
