"cohort","criterion","auc_eff","auc_eff_anchor","gain","lr_p"
"CGGA-693","unadjusted",0.78262814569324,0.817403415507417,0.0347752698141779,1.9939489840311e-113
"CGGA-693","adjusted",0.650646878929656,0.689772127879281,0.0391252489496248,1.24428091591396e-37
"CGGA-325","unadjusted",0.770078066468794,0.938343757018468,0.168265690549674,0
"CGGA-325","adjusted",0.706676234676676,0.785833683641392,0.0791574489647159,7.28726815485512e-194
"array-301","unadjusted",0.738424704669218,0.937263673190105,0.198838968520887,0
"array-301","adjusted",0.64528963015594,0.750519302444436,0.105229672288496,6.99570772257609e-145
