"cohort","sd_between","sd_within","frac_between"
"TCGA",0.648523119822799,1.88167281341874,0.10617345595153
"CGGA-693",0.399682611035708,1.83522965288291,0.0452819186237466
"CGGA-325",0.32613424011911,1.83982559012646,0.0304651219099712
"CGGA-301",0.289735231258411,1.84479639679442,0.0240726132041078
