"setting","fdr","repl_p","anchor","metric","n_prog","auc_null","auc_real","diff"
"TCGA->CGGA-325",0.05,0.01,"grade","absd",6211,0.567033947635451,0.766688322634115,0.199654374998664
"TCGA->CGGA-325",0.05,0.01,"idh","prod",6211,0.840764976556603,0.817284388505715,-0.0234805880508883
"TCGA->CGGA-325",0.05,0.01,"idh","absd",6211,0.522028613722984,0.742771589243657,0.220742975520672
"TCGA->CGGA-325",0.05,0.05,"grade","prod",6211,0.878890947080584,0.922347110691834,0.0434561636112498
"TCGA->CGGA-325",0.05,0.05,"grade","absd",6211,0.559016671352728,0.793124231430989,0.234107560078261
"TCGA->CGGA-325",0.05,0.05,"idh","prod",6211,0.847723676738942,0.826588716831693,-0.0211349599072489
"TCGA->CGGA-325",0.05,0.05,"idh","absd",6211,0.513341216942593,0.764840764005532,0.25149954706294
"TCGA->CGGA-325",0.05,0.1,"grade","prod",6211,0.887165552325823,0.929543281376485,0.0423777290506623
"TCGA->CGGA-325",0.05,0.1,"grade","absd",6211,0.558319331362255,0.807809554337374,0.249490222975119
"TCGA->CGGA-325",0.05,0.1,"idh","prod",6211,0.856479713345997,0.834850024176505,-0.0216296891694927
"TCGA->CGGA-325",0.05,0.1,"idh","absd",6211,0.509809689530182,0.781603988851643,0.271794299321461
"TCGA->CGGA-325",0.1,0.01,"grade","prod",6517,0.8716868927341,0.910025016901622,0.0383381241675224
"TCGA->CGGA-325",0.1,0.01,"grade","absd",6517,0.563346494793481,0.751054215235385,0.187707720441904
"TCGA->CGGA-325",0.1,0.01,"idh","prod",6517,0.84918776371308,0.818626525418289,-0.0305612382947911
"TCGA->CGGA-325",0.1,0.01,"idh","absd",6517,0.523426044207022,0.729803499365199,0.206377455158177
"TCGA->CGGA-325",0.1,0.05,"grade","prod",6517,0.884395438382732,0.91922111389439,0.0348256755116577
"TCGA->CGGA-325",0.1,0.05,"grade","absd",6517,0.552465799239952,0.778558658843283,0.226092859603331
"TCGA->CGGA-325",0.1,0.05,"idh","prod",6517,0.85413585463765,0.82636486744239,-0.0277709871952601
"TCGA->CGGA-325",0.1,0.05,"idh","absd",6517,0.513644774453579,0.751742003208548,0.238097228754969
"TCGA->CGGA-325",0.1,0.1,"grade","prod",6517,0.891961709243021,0.92606977845573,0.0341080692127095
"TCGA->CGGA-325",0.1,0.1,"grade","absd",6517,0.551303015390122,0.793181723305501,0.24187870791538
"TCGA->CGGA-325",0.1,0.1,"idh","prod",6517,0.860970075384753,0.833543940581166,-0.0274261348035874
